artist,avg_pop,avg_duration,avg_temp,avg_energy,avg_danceability,avg_loudness,avg_speechiness,avg_instrumentalness,avg_acousticness,avg_liveness,avg_valence,rating_np,rating_ps,rating_pk,rating_hi,rating_svm
Eddie Floyd,25,172600,105,0.57,0.7,-7.27,0.03,0.01,0.39,0.16,0.85,,,,,
Eddie Fowlkes,23,291458,129,0.91,0.8,-6.19,0.05,0.84,0,0.05,0.31,,,,,
Eddie Fresco,34,168179,127.28,0.64,0.71,-8.82,0.15,0.08,0.18,0.14,0.48,,,,,
Eddie Harris,25,557480,99.63,0.18,0.48,-14.5,0.04,0.08,0.84,0.11,0.4,,,,,
Eddie Hazel,31,221440,132.07,0.43,0.34,-11.33,0.04,0,0.85,0.12,0.2,,,,,
Eddie Henderson,34,369543,108.17,0.35,0.47,-12.26,0.06,0.36,0.72,0.09,0.47,,,,,
Eddie Kendricks,23,338672,123.13,0.64,0.6,-9.86,0.07,0.01,0.3,0.16,0.77,,,,,
Eddie Meduza,27,176687,145.55,0.78,0.65,-7.28,0.09,0,0.42,0.24,0.88,,,,,
Eddie Money,30,207147,140.93,0.73,0.63,-7.47,0.06,0,0.22,0.12,0.72,,,,,
Eddie Rabbitt,35,195372,119.67,0.57,0.64,-9.48,0.04,0,0.28,0.18,0.69,,,,,
Eddie Ruth Bradford,25,224267,134.22,0.59,0.81,-4.27,0.09,0,0.42,0.06,0.78,,,,,
Eddie Silverton,21,307523,105.6,0.54,0.72,-11.58,0.05,0.53,0.16,0.11,0.59,,,,,
Eddie Thoneick,31,182445,124.34,0.91,0.74,-7.09,0.05,0.89,0.01,0.16,0.73,,,,,
Eddie van der Meer,24,158335,131.45,0.48,0.43,-8.4,0.04,0.76,0.51,0.17,0.42,,,,,
Eddy Arnold,27,155308,104.11,0.26,0.63,-12.24,0.05,0,0.87,0.16,0.62,,,,,
Eddy Clearwater,29,280440,185.56,0.72,0.31,-3.84,0.07,0,0.18,0.34,0.27,,,,,
Eddy Current Suppression Ring,22,224264,112.3,0.91,0.51,-4.27,0.05,0.51,0.03,0.17,0.62,,,,,
Eddy Huntington,29,228736,120.78,0.83,0.7,-7.74,0.04,0.07,0.24,0.09,0.97,,,,,
Eddy Kim,26,221063,121.96,0.44,0.63,-7.07,0.09,0,0.54,0.12,0.58,,,,,
Eddy Lover,50,230304,131.94,0.72,0.66,-5.69,0.04,0,0.35,0.22,0.62,,,,,
Eddy Raven,26,160711,112.77,0.5,0.7,-11.7,0.03,0,0.32,0.19,0.73,,,,,
Eddy Tyler,39,278775,136.41,0.33,0.52,-13.08,0.04,0.83,0.86,0.12,0.35,,,,,
E-Dee,29,199542,100.91,0.71,0.61,-6.16,0.29,0,0.07,0.1,0.59,,,,,
Edelis,22,272928,121.12,0.61,0.57,-10.88,0.03,0.82,0.26,0.18,0.43,,,,,
EDEN,48,235875,111.86,0.52,0.47,-7.42,0.12,0.01,0.49,0.31,0.31,,,,,
Eden FM,41,187649,177,0.54,0.48,-15.65,0.2,0.94,0.17,0.21,0.1,,,,,
Eden Kane,23,140813,127.86,0.61,0.72,-9.26,0.03,0,0.55,0.18,0.92,,,,,
Eden Prince,32,190379,122.95,0.81,0.76,-6.07,0.08,0.25,0.07,0.17,0.68,,,,,
Eden Synthetic Corps,23,278614,119.03,0.95,0.55,-6.45,0.05,0.32,0,0.36,0.32,,,,,
Edenbridge,22,255547,138.54,0.9,0.42,-6.08,0.06,0.16,0,0.22,0.27,,,,,
Eden's Curse,24,268010,138.42,0.87,0.39,-4.64,0.04,0.07,0,0.13,0.34,,,,,
Edens Edge,28,215151,175.34,0.72,0.5,-3.47,0.04,0,0.37,0.1,0.46,,,,,
Edgar Broughton Band,24,225813,113.72,0.7,0.47,-8.09,0.06,0,0.15,0.12,0.72,,,,,
Edgar Winter,24,250571,148.03,0.82,0.47,-5.56,0.05,0.06,0.23,0.21,0.65,,,,,
Edgardo Nuñez,48,183244,127.2,0.58,0.65,-7.37,0.11,0,0.4,0.19,0.74,,,,,
Edge Of Sanity,18,256382,98.2,0.92,0.22,-6.59,0.07,0.83,0,0.34,0.24,,,,,
Edgewater,34,213555,144.22,0.93,0.41,-3.47,0.07,0,0,0.16,0.37,,,,,
